Tanggal;Tn;Tx;Tavg;RH_avg;RR;ss;ff_x;ddd_x;ff_avg;ddd_car
28/09/2018;20;31.9;25.4;78;0;10.6;4;250;2;W 
29/09/2018;22;32.6;26.5;75;0;10.1;4;270;2;W 
30/09/2018;22;32.8;27.2;76;0;10.3;3;270;2;S 
01/10/2018;23;33.3;27.9;72;0;8;4;250;2;S 
02/10/2018;22;34;27.2;75;3.4;8.9;4;240;2;W 
03/10/2018;24;33.4;27.6;73;0;10.1;4;260;2;W 
04/10/2018;21;32.6;26.1;70;0;9.9;3;250;2;S 
05/10/2018;20;32.4;26.1;73;0;11.7;5;230;2;W 
06/10/2018;22;33;27.1;69;0;9.3;4;180;3;S 
07/10/2018;22;34.6;27.4;73;0;10.1;4;270;2;SW
08/10/2018;22;34.8;27.6;71;0;9.2;4;250;2;W 
09/10/2018;23;31.4;26.4;78;0;10.4;4;250;2;S 
10/10/2018;23;32;26.5;82;0;7.6;4;250;2;W 
11/10/2018;23;33.7;27.4;74;0;8;5;250;3;W 
12/10/2018;23;33.3;26.6;79;0;10.9;5;270;2;W 
13/10/2018;24;31.2;26.8;78;8888;8.1;4;230;3;W 
14/10/2018;22;32.6;26.7;76;0;4.8;4;170;2;S 
15/10/2018;24;33.2;27.7;75;0;9.2;3;210;2;S 
16/10/2018;23;33;27.2;73;0;7.8;5;180;2;SW
17/10/2018;23;31.8;26.5;78;;9.4;4;240;2;W 
18/10/2018;24;31.1;26.7;72;0;6.1;6;260;3;SW
19/10/2018;23;32;26.6;72;0;6.5;4;230;2;S 
20/10/2018;;31.8;27;70;0;5;5;180;2;S 
21/10/2018;23;33;27.1;77;0;5.5;4;180;2;S 
22/10/2018;24;31.8;27.1;78;0;5.3;4;230;3;W 
23/10/2018;24;32;26.7;81;2.2;3.6;5;290;3;W 
24/10/2018;24;32;27.4;76;0;7.2;4;250;3;W 
25/10/2018;25;32;27.1;76;0;7.6;6;210;3;S 
26/10/2018;24;32.7;27.8;72;0;3.4;5;250;3;W 
27/10/2018;24;32.3;27.3;76;8888;5;5;250;3;SW
28/10/2018;23;32.3;27.1;76;;6.5;5;180;2;W 
29/10/2018;22;32.6;27.2;71;0;9.2;5;260;3;W 
30/10/2018;23;32.8;27.4;71;0;11.2;4;260;2;W 
01/11/2018;22;33.8;27.6;71;0;8.8;6;180;3;S 
02/11/2018;23;34.6;28.7;70;0;8.5;4;280;2;N 
03/11/2018;24;32.8;27;83;0;6.5;4;270;3;S 
04/11/2018;23;;28;74;0.2;4.1;5;240;3;S 
05/11/2018;25;33.8;28.4;77;0;3;5;260;2;W 
06/11/2018;25;29.7;26.9;82;1.6;4;3;170;2;SW
07/11/2018;24;30.2;26.5;85;9.3;1.1;4;270;2;W 
08/11/2018;;32.6;26.2;87;1;2.2;4;260;2;W 
09/11/2018;23;30.8;24.8;94;66.8;;4;30;2;W 
10/11/2018;22;31.4;26;83;63.2;3.2;4;40;2;NW
11/11/2018;23;32.4;27.1;83;46.4;4.5;4;330;2;W 
12/11/2018;24;32.3;26.8;84;0;6.4;5;210;2;N 
13/11/2018;24;30.4;26.4;88;2;6;4;260;2;SW
14/11/2018;24;;25.9;88;5;2.2;5;230;2;NW
15/11/2018;23;31.4;27.3;85;34.6;2.3;5;230;2;SW
16/11/2018;;31.8;28.2;77;8888;5.9;4;200;2;S 
17/11/2018;24;31.7;27.9;81;0;10.3;4;270;2;W 
18/11/2018;25;31.6;28;79;0;9.3;5;250;3;W 
19/11/2018;24;32.8;28.1;76;0;;4;240;3;SW
20/11/2018;25;31.9;28;79;0;10;6;230;3;SW
21/11/2018;23;31.4;27.2;81;0;7.7;6;250;3;W 
22/11/2018;23;30.2;25.7;84;20;9.2;4;250;2;SW
23/11/2018;23;30.6;26.5;81;12;;4;220;2;W 
24/11/2018;22;;26.7;80;0;7.8;4;230;2;SW
25/11/2018;24;30.4;26.4;82;0;7.8;4;250;2;W 
26/11/2018;24;30.8;25.6;84;1.5;3.6;4;200;2;N 
27/11/2018;22;30.6;24.2;;48.9;2.5;4;240;1;N 
28/11/2018;23;30.4;25.3;88;106.4;4.7;3;290;2;SW
29/11/2018;23;27.8;24.6;93;7.2;4.1;5;230;2;W 
30/11/2018;23;;26;87;8.6;0;5;240;2;N 
01/12/2018;23;30;26.3;80;1;6.4;5;230;3;SW
02/12/2018;23;30.4;27.8;73;0;6.8;4;270;2;W 
03/12/2018;24;30.5;25.9;90;8888;5.1;4;250;2;NW
04/12/2018;24;30.6;25.8;91;25.6;1.9;5;290;2;S 
05/12/2018;24;31.4;26.1;89;91;3.5;6;260;2;NW
06/12/2018;23;31.6;26;88;22.3;4.4;5;180;2;W 
07/12/2018;24;32.2;26.9;90;17.3;;5;260;2;W 
08/12/2018;23;29.5;25.6;91;59.1;7.3;5;200;2;W 
09/12/2018;23;31.4;26.9;85;0.3;3.3;3;250;2;S 
10/12/2018;24;31;26.4;90;0;3.9;14;320;3;W 
11/12/2018;23;30.1;27.3;86;15.4;5.8;5;230;2;SW
12/12/2018;25;30.6;27.1;85;;3.7;5;240;3;SW
13/12/2018;25;31;27.1;82;0;7.2;4;250;2;W 
14/12/2018;25;28.4;26;89;0.3;2.1;4;28;2;NW
15/12/2018;23;30.4;26.4;84;9.9;0.2;6;250;2;W 
16/12/2018;24;28.6;25.6;88;8;4.5;3;230;2;SW
17/12/2018;23;30;26.5;84;1;0;5;180;2;C 
18/12/2018;22;30.5;26.3;82;0;2.9;5;230;2;W 
19/12/2018;23;30.4;26.3;85;6.3;9.8;4;190;2;S 
20/12/2018;23;29.8;25.2;90;0;4.6;4;250;2;W 
21/12/2018;23;29.8;25.8;87;3.2;0.9;4;210;2;SW
22/12/2018;23;30.4;26.6;83;1.5;2.2;5;260;2;SW
23/12/2018;23;29.2;25.9;88;14;5.7;5;230;3;NW
24/12/2018;23;28.8;25.3;89;8;2.5;5;260;2;N 
25/12/2018;23;28.6;25.3;89;4;0.3;5;270;2;C 
26/12/2018;22;30.4;25.8;84;15;0.1;5;230;2;W 
27/12/2018;22;31;26.1;80;0;;4;270;2;W 
28/12/2018;23;31.2;27.7;73;0;6.2;6;280;4;W 
29/12/2018;25;31.4;27.3;79;0;10.7;6;250;4;W 
30/12/2018;24;31.3;25.9;84;8888;5.1;8;270;5;NW
31/12/2018;22;29.8;25.6;84;15;2.2;6;270;4;W 
01/01/2019;23.2;30.4;25.7;84;0;6.3;5;270;3;W 
02/01/2019;23.2;29.2;25;89;3.6;2.5;4;330;2;NW
03/01/2019;22.6;27.6;24.6;89;12.4;0.4;7;270;3;W 
04/01/2019;23.2;31.7;26.7;80;22.4;0.2;4;230;2;W 
05/01/2019;22.7;30.4;25.7;89;26.2;8.5;3;180;1;C 
06/01/2019;23;32;26.7;85;8;7.6;4;230;1;C 
07/01/2019;23.8;32.8;26.9;84;41.3;7.5;5;350;2;W 
08/01/2019;23.4;31.2;27;84;4;8.2;4;250;2;W 
09/01/2019;23.2;31.9;26.4;86;0;5.9;5;350;2;C 
10/01/2019;22.6;32.4;27.6;80;13.2;6.5;4;250;2;W 
11/01/2019;24.5;32.6;26.2;87;0;9.1;5;210;2;W 
12/01/2019;21.2;31.3;27.2;87;0;6.1;6;240;3;SW
